genes_filt,SST_IP_AMPH1,SST_IP_AMPH2,SST_IP_AMPH3,SST_IP_AMPH4,SST_IP_SAL5,SST_IP_SAL7,SST_IP_SAL15,SST_IP_SAL16,SST_UF_AMPH11,SST_UF_AMPH12,SST_UF_AMPH13,SST_UF_AMPH14,SST_UF_SAL8,SST_UF_SAL10,SST_UF_SAL17,SST_UF_SAL18
Cyfip2,45047.92578378566,58655.80019244861,44945.11752751175,54615.32703519964,47726.65551555018,56184.72185684434,53092.4118068033,53292.60557807271,52501.830833892374,50155.89891670996,43428.869248509895,47429.46178158754,44961.171251676606,46113.36630929865,52044.25334738999,52203.169065176946
Cygb,12395.450887282337,21413.484512601193,11283.707791830264,18839.408554384405,11307.3071661502,14349.039935574012,19144.506780199925,16009.851242274372,5140.138254653552,6076.266410031112,3792.009641375252,5794.692515202106,4859.4380407619965,4367.072190830399,7060.612253136993,4256.1662742610715
Cyhr1,1924.6619759373702,2838.5316679494604,2004.7560355712683,2377.2856743494467,1818.387296907715,2048.9247318157068,2692.4879132699116,2379.7697567962555,2082.8913152346513,1903.2326172927608,1645.2270992388812,2038.7495067449581,1675.1103941327272,1613.6452382471664,2323.3455920631795,1945.1641257945141
Cyld,25458.84065395201,28005.09220527642,24208.53661359128,30360.044910783457,27017.95723972046,33616.09002769354,22245.701944274013,21626.126436978207,32232.842680134236,31164.606702411384,27708.359840087258,31558.45330488413,31454.666544881555,31484.127378452624,28214.97457238412,25778.578753758586
Cyp11a1,427.87090017727934,250.58821095731912,427.11014171167784,363.44440848820864,314.66847899861943,226.7267296870351,594.6854485727534,354.360828892598,623.9724503658532,329.2737699420927,417.3432990882535,316.52055421116546,312.5285547040983,265.30990300405375,462.958433318976,543.6890331443354
Cyp19a1,10.356531563569046,48.27909106777711,11.253429147176847,46.02905473350455,24.759957781207433,29.66449564924115,11.471759775655451,4.794727442259106,11.506733478684184,31.272428822934327,18.32682325421153,31.533541532828224,21.5347064938981,17.133192515080314,14.166553090232982,4.240781951500482
Cyp20a1,31881.558772863777,32884.915027207084,38058.64576754972,38745.63152131948,29916.44671961977,35893.79402965823,31652.251209930542,31974.483820734687,35670.31488543773,37775.4295729859,32573.08803610607,46437.91583220622,35458.76058343269,41094.440453860116,40127.06069976128,34789.38196259275
Cyp26b1,7077.301630339738,14622.73889549722,6069.2351137229425,7784.4600235195885,5533.727597979568,22706.94561388876,14619.44154124358,6459.491680956502,2768.206254967451,6043.3013283344635,4115.00492901018,6482.02833735162,4610.968163965591,10899.815181749873,10981.6114529073,2550.5411996035737
Cyp27a1,73.78386459624988,54.439487907547054,78.60167024692815,88.28843401766176,27.766563383219943,100.33366992193027,145.78717520401466,95.64648656468033,339.6245511075023,264.79931043018865,244.23756170595715,254.71665702464963,226.17798240352113,294.5796025066547,225.88626383679173,269.7584054040163
Cyp2c52-ps,471.55800044195826,430.05906246877134,615.3635791726402,419.96452884549757,437.7338477708638,371.00998094767994,423.3605322458004,395.7824061139119,353.26398805984996,326.28304630205884,409.1778867147877,421.43276152485015,292.8681306785552,393.87946650692396,402.02417464147146,266.39835618048323
Cyp2d22,205.27801957579584,152.0554898385659,250.5762921588502,243.77398564930064,90.55523648596618,82.84899395345332,285.75413926413876,189.3875166334067,177.78290103461833,229.49692178708776,173.8763555639557,183.46968059872617,142.4977518784669,122.56622622476128,220.93990259768717,194.42795007373053
Cyp2j12,237.1916445349547,198.46555200366382,149.72322550112665,300.31234600905594,94.15531778611313,551.0993162507972,99.65330307796376,262.5556511924033,1434.07859362521,1176.3208058058283,935.5465736097208,1383.8872395722778,1078.2687029360081,1754.0273469763856,1276.8551638469428,1200.7753247410694
Cyp2j6,3923.286773340507,3119.5176310394068,4168.223582982749,4666.355314746248,3670.5008132200164,5631.029991205909,4373.725264409311,5039.6517220989135,6980.694034265746,8182.855214763435,7472.25958976273,9267.782990695041,9514.524202025355,10782.732768032867,8380.270209190128,8708.804443863797
Cyp2j8,90.40104781239648,73.27754823269852,88.59958092312895,138.55477575156047,82.69266055488141,116.23624755508409,75.9618917763912,56.56020367983025,55.93568611014725,87.22414832559069,107.11642682539579,99.745495360649,123.89278804343637,127.48404501965608,103.29810824061374,138.12034711839775
Cyp2j9,204.26753306821672,190.51470531481934,249.67533575940712,239.20068232503345,106.76945032656961,240.84896780245074,314.4580699133347,190.76814764419214,798.7667584881564,821.4943675258511,677.6005296649995,711.6840173644875,543.0009031271209,492.5429904038699,525.9451225733579,403.35951481523273
Cyp2r1,18.08025844135478,20.261765161177944,16.549777781672454,19.447732748927,15.110807196043993,20.20384594431843,20.90550168015648,19.37335871495433,15.478094501948515,7.9621051024088585,8.657378449486648,14.300314795924843,13.791875954481407,19.383728645016813,14.310183325155574,14.687238543537589
Cyp2s1,13.969923762198311,14.185938473530344,12.824985060415784,13.441443000579168,13.234999424532807,13.414888686221179,19.968829815892565,20.712716333707963,8.207793628421618,10.368584095793766,8.467373428045084,11.860520835079946,7.2364532827628745,10.675898607069138,16.955293832331595,8.921946573694369
Cyp2u1,4027.2998005254713,5323.447739618042,3832.2547426710926,4817.453783808264,3761.4902209359375,4280.750602517518,4900.89447710886,5410.8185337889045,3627.381340799246,3179.8996280622964,2873.1773578903376,3039.2081615629886,3144.9983413291084,2952.7691159892724,3617.4258121405596,3551.6933619884717
Cyp39a1,5748.441197638817,3121.9856038487737,6467.474772437907,6303.602604555767,2090.555514887777,3903.3661783524985,4038.925481054837,5454.833281914158,3181.462684029299,3906.8358496918095,2359.3103464913165,2979.6081248861515,3007.7247004086194,3332.978978385665,2460.596775422267,3906.5251285067397
